nghd,first,second,third
Marshall Township,😂,😭,😍
Braddock Hills Borough,😂,🔥,💪
Arlington,😂,😍,😭
Whitehall Borough,😂,😍,😭
Aleppo Township,😂,😘,😩
Baldwin Township,😂,😘,😍
Wilkins Township,😂,😭,😩
Lincoln-Lemington-Belmar,😂,😩,😍
Glen Osborne Borough,😂,❤,😘
Swisshelm Park,😂,😩,😭
Avalon Borough,😂,😍,😭
Mount Lebanon,😂,😍,❤
Homestead Borough,😂,😍,😩
Oakdale Borough,😂,😍,😭
Neville Township,😂,😍,😘
Ben Avon Borough,😂,😍,😭
Brookline,😂,😩,💘
Fairywood,😂,😭,😍
Crafton Borough,😂,😍,😩
Ridgemont,😂,😩,😍
Carrick,😂,❤,😍
Pennsbury Village Borough,😂,😭,😩
Spring Garden,😂,😭,😍
Edgewood Borough,😂,😭,😍
Pine Township,😂,😍,❤
Clairton,😂,😩,😒
Glen Hazel,😂,😩,😍
Green Tree Borough,😂,😭,😍
Crafton Heights,😂,😭,😩
South Shore,😂,💕,🙌
Springdale Township,😂,😍,😩
Bethel Park Borough,😂,😍,❤
Jefferson Hills Borough,😂,😩,😍
Shadyside,😂,❤,😭
Allegheny West,😂,⚾,😍
North Oakland,😂,😭,😍
Sheraden,😂,😩,😭
Ohio Township,😂,😍,😩
South Versailles Township,😂,😍,❤
Bloomfield,😂,💯,🙏
Blawnox Borough,😂,😍,😭
Beechview,😂,🐧,❄
Dravosburg Borough,😂,😭,😍
Chartiers City,😂,😭,😩
Manchester,😂,🔥,😩
Harmar Township,😂,😭,❤
Westwood,😂,😭,😹
Rosslyn Farms Borough,😂,❤,😍
McKeesport,😂,😍,😩
Perry North,😂,😍,💯
Whitaker Borough,😂,😭,😍
Heidelberg Borough,😂,😍,😩
Allentown,😂,😩,👏
Chalfant Borough,😂,❤,😩
Hampton Township,😂,😍,❤
Sharpsburg Borough,😂,😭,😍
Elizabeth Township,😂,😍,😩
Sewickley Heights Borough,😍,😂,❤
Perry South,😂,😩,😭
Forest Hills Borough,😂,😩,😍
South Park Township,😂,😍,❤
Churchill Borough,😂,😭,😍
Franklin Park Borough,😂,😍,😭
Pittsburgh,😂,😍,😭
North Braddock Borough,😂,😩,😍
Duquesne Heights,😂,😍,😩
Robinson Township,😂,😍,😭
Homewood South,😂,😭,🔥
Monroeville,😂,😩,🏀
Central Oakland,😂,😭,😍
Braddock Borough,😂,😩,😭
California-Kirkbride,😂,😩,😭
West View Borough,😂,😭,😍
Highland Park,😂,😩,😍
Hays,😂,😭,😍
Kennedy Township,😂,😍,😭
West Elizabeth Borough,😂,💨,❤
Etna Borough,😂,😘,💋
Leet Township,🏊,🏆,❤
Brighton Heights,😂,😭,😍
Mount Washington,😂,😭,😍
Chateau,😂,😍,💛
Plum Borough,😂,😍,😭
Strip District,😂,😭,😍
Versailles Borough,😂,😍,💯
Duquesne,😂,😩,😍
Marshall-Shadeland,😂,😩,😭
North Versailles Township,😂,😍,😩
Central Lawrenceville,😂,😩,😍
Point Breeze,😂,😍,🙏
Collier Township,😍,😂,💕
Rankin Borough,😂,😭,😩
Brentwood Borough,😂,😍,😭
West Deer Township,😂,😭,😍
Summer Hill,😂,♥,💝
Coraopolis Borough,😂,😭,😍
Upper St. Clair Township,😂,😍,❤
Port Vue Borough,😂,😭,😍
Central Northside,😂,😩,😍
North Shore,😂,😍,❤
Stanton Heights,😂,😩,😭
Lincoln Borough,😂,✋,😭
Verona Borough,😂,❤,😒
Aspinwall Borough,😂,😍,❤
East McKeesport Borough,😂,😘,☆
Emsworth Borough,😂,😍,❤
West Homestead Borough,😂,😍,😩
West Mifflin Borough,😂,😍,😩
Elizabeth Borough,😂,😭,😩
McKees Rocks Borough,😂,😍,😭
Crawford-Roberts,😂,😩,😭
Homewood North,😂,😩,😭
Carnegie Borough,😂,😍,😭
Bradford Woods Borough,😂,❄,🎃
Windgap,😆,😂,😒
Moon Township,😂,😍,😴
South Fayette Township,😂,😍,😭
East Carnegie,😂,❤,😍
Banksville,😂,😍,🙌
Kilbuck Township,😂,😭,👏
Bon Air,😂,😴,😩
Sewickley Borough,😂,😍,❤
Oakmont Borough,😂,😩,😍
Fineview,😂,♥,😩
Findlay Township,😩,✋,😁
Indiana Township,😂,😍,😩
Richland Township,😂,😭,😍
Penn Hills Township,😂,🔥,🔫
Bell Acres Borough,😂,❤,😖
Bridgeville Borough,❤,✨,😂
Mount Oliver Borough,😂,😩,😍
Squirrel Hill South,😂,😩,🔥
White Oak Borough,😂,😩,😍
Greenfield,😂,😍,😩
Fox Chapel Borough,😂,❤,😍
Esplen,😂,😩,😍
